danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,duration_ms,time_signature,spotify_song,spotify_album,spotify_artist,billboard_name,billboard_artist,popularity,release_date,explicit,billboard_df_index
0.616,0.185,5,-14.1,1,0.0391,0.56,0.0,0.157,0.413,130.849,audio_features,34bgq80JYegTuxWouTaq6p,spotify:track:34bgq80JYegTuxWouTaq6p,177600,4,My Kind of Girl,The Best Of Matt Monro,Matt Monro,my kind of girl,matt monro,15,1990,False,183
0.545,0.66,4,-7.872,1,0.0304,0.657,0.0,0.634,0.884,125.069,audio_features,0hYEYnKYQt5d0zQdUABH3V,spotify:track:0hYEYnKYQt5d0zQdUABH3V,128067,4,"Tonight My Love, Tonight",Put Your Head On My Shoulder: The Very Best Of Paul Anka,Paul Anka,tonight my love tonight,paul anka,34,2000-10-03,False,184
0.634,0.48,2,-13.191,1,0.0264,0.483,0.569,0.14,0.969,87.077,audio_features,6Vf3F1AnPANnD3U18aVMMA,spotify:track:6Vf3F1AnPANnD3U18aVMMA,140000,4,San Antonio Rose,The Essential Floyd Cramer,Floyd Cramer,san antonio rose,floyd cramer,12,1995,False,185
0.67,0.321,8,-11.954,1,0.0426,0.326,1.34e-05,0.107,0.353,85.692,audio_features,6AzGMTpVd6BCLxQkNktHpJ,spotify:track:6AzGMTpVd6BCLxQkNktHpJ,178943,4,Big Bad John,The Jimmy Dean Collection,Jimmy Dean,big bad john,jimmy dean,23,1976-04-29,False,186
0.506,0.844,5,-6.58,1,0.0725,0.617,0.0,0.645,0.854,168.78,audio_features,5Zt2tF219dfVI32VAORqXH,spotify:track:5Zt2tF219dfVI32VAORqXH,129467,4,Good Time Baby,The Best Of Bobby Rydell,Bobby Rydell,good time baby,bobby rydell,14,2005-10-18,False,187
0.434,0.492,9,-10.116,1,0.0447,0.229,0.0,0.204,0.713,144.779,audio_features,0NhmxqjK2TGgiOmFVmfLmO,spotify:track:0NhmxqjK2TGgiOmFVmfLmO,153040,4,Rubber Ball,Very Best Of,Bobby Vee,rubber ball,bobby vee,19,2008-01-01,False,188
0.515,0.485,9,-2.505,1,0.0276,0.867,0.0,0.155,0.357,90.757,audio_features,77gzCNlcAa3s6hwYkEBkOO,spotify:track:77gzCNlcAa3s6hwYkEBkOO,164147,4,Missing You,Presenting Ray Peterson,Ray Peterson,missing you,ray peterson,38,1958-11-26,False,189
0.691,0.618,6,-6.678,1,0.154,0.831,0.0,0.136,0.682,126.533,audio_features,2amlWbDFBNfQyoHy7mIMnZ,spotify:track:2amlWbDFBNfQyoHy7mIMnZ,146173,4,Dum Dum,All The Way,Brenda Lee,dum dum,brenda lee,23,1961-08-07,False,190
0.771,0.721,2,-10.523,1,0.0347,0.771,0.000352,0.0532,0.989,126.636,audio_features,4dBttGi2tw0QP4gfIIvKW3,spotify:track:4dBttGi2tw0QP4gfIIvKW3,125643,4,I'm Gonna Knock on Your Door,Extended Play Collection,Eddie Hodges,im gonna knock on your door,eddie hodges,39,2019-07-09,False,191
0.563,0.153,11,-13.87,1,0.0272,0.857,0.00193,0.085,0.335,92.487,audio_features,6sEzDVlcfYn2akvtzUitrb,spotify:track:6sEzDVlcfYn2akvtzUitrb,214520,3,You Can Depend On Me,"Brenda, That's All",Brenda Lee,you can depend on me,brenda lee,28,1962-10-15,False,192
0.604,0.709,8,-6.377,1,0.158,0.0987,0.0,0.0551,0.907,167.832,audio_features,1INWPr855fwWdAOeecbu0W,spotify:track:1INWPr855fwWdAOeecbu0W,137360,4,Let's Twist Again,It's Pony Time/Let's Twist Again,Chubby Checker,lets twist again,chubby checker,69,1961-01-01,False,193
0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,audio_features,1YQWosTIljIvxAgHWTp7KP,spotify:track:1YQWosTIljIvxAgHWTp7KP,324133,5,Take Five,Time Out,The Dave Brubeck Quartet,take five,the dave brubeck quartet,68,1959-12-14,False,194
0.433,0.0748,0,-19.351,1,0.049,0.92,0.00104,0.105,0.193,73.093,audio_features,4xUqqie4bBKufHtlMuZS3k,spotify:track:4xUqqie4bBKufHtlMuZS3k,186667,3,Are You Lonesome Tonight?,Platinum - A Life In Music,Elvis Presley,are you lonesome tonight,elvis presley,56,1997-07-15,False,195
0.59,0.586,7,-9.158,1,0.0344,0.422,4.46e-05,0.337,0.729,91.17,audio_features,0xERMvJD8djz1ZBjPSRLvM,spotify:track:0xERMvJD8djz1ZBjPSRLvM,155040,4,Sea of Heartbreak,RCA Country Legends: Don Gibson,Don Gibson,sea of heartbreak,don gibson,54,2001-05-15,False,196
0.544,0.163,2,-20.184,1,0.27,0.796,0.0,0.973,0.447,116.515,audio_features,5X864LOuv4j0UZUWPqVVYV,spotify:track:5X864LOuv4j0UZUWPqVVYV,388467,4,More Money for You and Me - Medley,The Best of the Four Preps,The Four Preps,more money for you and me,the four preps,7,2007-11-27,False,197
0.713,0.779,7,-5.85,1,0.0363,0.879,0.0,0.0515,0.972,135.289,audio_features,5LVT7TywT5UDT7exfnxSOz,spotify:track:5LVT7TywT5UDT7exfnxSOz,135800,4,You Must Have Been a Beautiful Baby - 2006 Remaster,Sing & Swing with Bobby Darin,Bobby Darin,you must have been a beautiful baby,bobby darin,18,2007-10-30,False,198
0.727,0.448,10,-7.833,1,0.0282,0.323,0.0,0.194,0.71,112.986,audio_features,1vbmdeXAV4fXR12I5FR5tD,spotify:track:1vbmdeXAV4fXR12I5FR5tD,135480,4,Please Stay - Single Version,All-Time Greatest Hits & More 1959-1965,The Drifters,please stay,the drifters,14,1988,False,199
0.307,0.322,10,-11.944,1,0.0361,0.94,0.727,0.104,0.275,94.774,audio_features,1DiQbxOHSGdfeRNZ2YFfE2,spotify:track:1DiQbxOHSGdfeRNZ2YFfE2,176333,4,Stranger On The Shore,Instrumental Classics,Acker Bilk,stranger on the shore,acker bilk,36,2021-10-22,False,200
0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,audio_features,79nJj5dMyTsUzKvN5jUXsJ,spotify:track:79nJj5dMyTsUzKvN5jUXsJ,256120,3,I Can't Stop Loving You,"Modern Sounds in Country and Western Music, Vols 1 & 2",Ray Charles,i cant stop loving you,ray charles,63,2009-06-02,False,201
0.674,0.473,2,-7.193,1,0.0362,0.0705,4.79e-05,0.0593,0.847,125.046,audio_features,6jouZcdraQvsbh7SWkLEui,spotify:track:6jouZcdraQvsbh7SWkLEui,150867,4,Mashed Potato Time,It's Mashed Potato Time/Do The Bird,Dee Dee Sharp,mashed potato time,dee dee sharp,45,1962-01-01,False,202
0.499,0.145,5,-14.145,1,0.0319,0.756,0.0,0.35,0.48,101.949,audio_features,5zw4SajQ2IKvjnSWXOSDrh,spotify:track:5zw4SajQ2IKvjnSWXOSDrh,158407,4,Roses Are Red (My Love),16 Most Requested Songs,Bobby Vinton,roses are red my love,bobby vinton,43,1991-09-03,False,203
0.471,0.458,0,-10.122,1,0.0285,0.702,0.552,0.326,0.528,94.183,audio_features,00vH2PsEQTGRyJYhyIyDbr,spotify:track:00vH2PsEQTGRyJYhyIyDbr,116733,4,The Stripper,Tease: The Beat Of Burlesque,David Rose,the stripper,david rose,29,2005-01-01,False,204
0.407,0.389,0,-9.123,1,0.0287,0.852,0.0,0.202,0.708,107.809,audio_features,3bCA1hPy7cQD0DOyGTj47Q,spotify:track:3bCA1hPy7cQD0DOyGTj47Q,140800,4,Johnny Angel,Shelley Fabares of The Donna Reed Show,Shelley Fabares,johnny angel,shelley fabares,34,1962-11-26,False,205
0.629,0.782,3,-9.595,1,0.0574,0.709,0.0215,0.304,0.736,128.973,audio_features,5xzdDMhFYiuUONB0Mha9VS,spotify:track:5xzdDMhFYiuUONB0Mha9VS,139120,4,The Locomotion,Llllloco-Motion,Little Eva,the loco motion,little eva,63,1962-01-01,False,206
0.661,0.851,10,-9.954,1,0.0503,0.467,4.63e-05,0.38,0.948,130.554,audio_features,1FY6i2ypBOzsMHU2mWXMA9,spotify:track:1FY6i2ypBOzsMHU2mWXMA9,186067,4,Let Me In,The Chess Story 1957-1964,The Sensations,let me in,the sensations,27,1999-10-04,False,207
0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,audio_features,4YCnTYbq3oL1Lqpyxg33CU,spotify:track:4YCnTYbq3oL1Lqpyxg33CU,155040,4,The Twist,Dancin' Party: The Chubby Checker Collection (1960-1966),Chubby Checker,the twist,chubby checker,63,2020-06-19,False,208
0.59,0.304,10,-13.584,1,0.029,0.152,2.4e-05,0.131,0.591,96.6,audio_features,5VBOdReLOqmafjNaAL40Sq,spotify:track:5VBOdReLOqmafjNaAL40Sq,161635,4,Soldier Boy - Remastered,Dedicated to the One I Love (Remastered),The Shirelles,soldier boy,the shirelles,11,2020-08-21,False,209
0.515,0.623,9,-5.597,1,0.036,0.359,0.0,0.274,0.643,64.253,audio_features,0obIo2GEab6qqms6t3JaMY,spotify:track:0obIo2GEab6qqms6t3JaMY,143627,4,Hey! Baby - Remastered,Hey! Baby (Deluxe Edition Remastered),Bruce Channel,hey baby,bruce channel,64,2017-12-12,False,210
0.623,0.48,2,-13.215,1,0.0392,0.193,0.0,0.11,0.842,114.436,audio_features,1UwriLz98ILbRhrtohTca1,spotify:track:1UwriLz98ILbRhrtohTca1,167160,4,The Wanderer,The Best Of Dion,Dion,the wanderer,dion,58,2001-01-01,False,211
0.339,0.487,0,-8.496,1,0.0361,0.495,0.0,0.226,0.349,105.04,audio_features,39J1xfhjVTnvk8DGKblMeG,spotify:track:39J1xfhjVTnvk8DGKblMeG,136882,4,Duke of Earl - Remastered,The Duke of Soul (Remastered),Gene Chandler,duke of earl,gene chandler,27,2018-09-03,False,212
0.365,0.812,5,-7.016,0,0.0572,0.369,0.0,0.156,0.854,83.799,audio_features,6rnuEzw71UY8CrmUHYQbQi,spotify:track:6rnuEzw71UY8CrmUHYQbQi,112773,4,Palisades Park,Presenting Freddy Cannon,Freddy Cannon,palisades park,freddy cannon,32,1960-12-03,False,213
0.743,0.799,8,-5.466,0,0.0375,0.699,0.0,0.0635,0.965,116.112,audio_features,2x6pbpjVGjiWCcH89IK8AX,spotify:track:2x6pbpjVGjiWCcH89IK8AX,139200,4,Breaking Up Is Hard to Do,Circulate (Expanded Edition),Neil Sedaka,breaking up is hard to do,neil sedaka,60,1960-12-30,False,214
0.626,0.348,9,-13.559,1,0.068,0.864,0.0,0.232,0.832,156.772,audio_features,1GM8EhVOkaU8jvqua4S54l,spotify:track:1GM8EhVOkaU8jvqua4S54l,178133,4,Wolverton Mountain,SUPER HITS OF THE '60s,Claude King,wolverton mountain,claude king,18,1997-03-01,False,215
0.753,0.711,4,-5.181,1,0.0373,0.371,0.0,0.203,0.905,130.387,audio_features,3nBXj1QTXhPDn1p1k8YBK4,spotify:track:3nBXj1QTXhPDn1p1k8YBK4,153040,4,Slow Twistin',Dancin' Party: The Chubby Checker Collection (1960-1966),Chubby Checker,slow twistin,chubby checker,46,2020-06-19,False,216
0.456,0.249,9,-12.257,1,0.0307,0.402,0.0,0.189,0.489,102.53,audio_features,0hA3ooiOc8urGHH8zvndgx,spotify:track:0hA3ooiOc8urGHH8zvndgx,166510,4,It Keeps Right on a-Hurtin' - Remastered,Best of the Best,Johnny Tillotson,it keeps right on a hurtin,johnny tillotson,1,2020-12-11,False,217
0.726,0.599,0,-8.049,1,0.0302,0.754,0.0,0.455,0.922,115.903,audio_features,24e4Q8nqsP1LKmKmWu0EFF,spotify:track:24e4Q8nqsP1LKmKmWu0EFF,150040,4,The One Who Really Loves You - Single Version,The Definitive Collection,Mary Wells,the one who really loves you,mary wells,20,2008-01-01,False,218
0.601,0.564,11,-8.501,0,0.0404,0.641,0.0,0.39,0.808,120.848,audio_features,4a523vS6eCweMMW2t7vLCg,spotify:track:4a523vS6eCweMMW2t7vLCg,145400,4,Good Luck Charm,Elvis 30 #1 Hits (Expanded Edition),Elvis Presley,good luck charm,elvis presley,52,2022-02-18,False,219
0.438,0.421,0,-12.196,0,0.0515,0.62,0.00447,0.0965,0.765,173.123,audio_features,4YWIA4KuBQXoCt7mMFKvwE,spotify:track:4YWIA4KuBQXoCt7mMFKvwE,176106,4,Midnight In Moscow,Various Artists I,Kenny Ball,midnight in moscow,kenny ball,23,2010-12-07,False,220
0.58,0.654,2,-8.485,0,0.0681,0.0273,0.000142,0.149,0.499,131.357,audio_features,0VFcEHSgg2wiuLDuhK9oxD,spotify:track:0VFcEHSgg2wiuLDuhK9oxD,127773,4,Sheila,Sheila,Tommy Roe,sheila,tommy roe,29,2008-11-17,False,221
0.458,0.801,9,-7.83,1,0.0565,0.691,0.0,0.328,0.93,160.547,audio_features,7FS541dJh3iQAEXEZoDhE6,spotify:track:7FS541dJh3iQAEXEZoDhE6,159853,4,Twistin' the Night Away,Twistin' the Night Away,Sam Cooke,twistin the night away,sam cooke,63,1962-04,False,222
0.745,0.757,7,-5.641,1,0.0367,0.166,0.000872,0.102,0.867,134.072,audio_features,2oSor0z4F53sD6UURkG0Qy,spotify:track:2oSor0z4F53sD6UURkG0Qy,149640,4,The Wah Watusi,The Best Of The Orlons,The Orlons,the wah watusi,the orlons,16,2005-10-18,False,223
0.427,0.642,0,-12.143,1,0.116,0.295,0.0,0.847,0.774,197.836,audio_features,4vFuebQvxexME3dTs99ifv,spotify:track:4vFuebQvxexME3dTs99ifv,122253,4,Peppermint Twist Pt. 1,Peppermint Twist,Joey Dee & The Starliters,peppermint twist,joey dee and the starliters,37,2020-08-28,False,224
0.539,0.26,0,-10.414,0,0.0268,0.588,0.0,0.134,0.492,92.032,audio_features,5JccvAiwcZ7n3urnXqWPsG,spotify:track:5JccvAiwcZ7n3urnXqWPsG,164000,3,Break It To Me Gently,"...""Let Me Sing""",Brenda Lee,break it to me gently,brenda lee,58,1963-09-12,False,225
0.77,0.777,0,-3.721,1,0.0366,0.444,0.0024,0.0861,0.803,124.314,audio_features,4yIVPO8ZS2Pm4qAOwxYOCt,spotify:track:4yIVPO8ZS2Pm4qAOwxYOCt,165707,4,Playboy - Single Version,The Definitive Collection,The Marvelettes,playboy,the marvelettes,18,2008-01-01,False,226
0.431,0.379,9,-8.615,1,0.0267,0.794,0.0,0.303,0.31,97.061,audio_features,6bZlab0NrNteVppLu9C2Zy,spotify:track:6bZlab0NrNteVppLu9C2Zy,167853,4,Ramblin' Rose,Ramblin Rose,Nat King Cole,ramblin rose,nat king cole,46,1962,False,227
0.449,0.362,5,-10.38,0,0.0279,0.743,0.0,0.132,0.6,90.822,audio_features,6oM4ryXpuZmbFfBv2sEe7v,spotify:track:6oM4ryXpuZmbFfBv2sEe7v,162160,4,Sealed With A Kiss,Chronology,Brian Hyland,sealed with a kiss,brian hyland,57,1993-01-01,False,228
0.418,0.368,10,-10.726,0,0.0271,0.747,0.00115,0.124,0.552,99.952,audio_features,6MQdBUknEEIKktUGg4NMzO,spotify:track:6MQdBUknEEIKktUGg4NMzO,157453,4,She Cried,Complete United Artists Singles,Jay & The Americans,she cried,jay and the americans,19,2009-01-01,False,229
0.397,0.361,8,-9.051,1,0.0308,0.84,0.0,0.259,0.199,73.709,audio_features,4e1xJdnj2w9vj8YPdkeUJv,spotify:track:4e1xJdnj2w9vj8YPdkeUJv,182133,4,Don't Break The Heart That Loves You,The Very Best Of Connie Francis - Connie's 21 Biggest Hits,Connie Francis,dont break the heart that loves you,connie francis,13,1963-10-01,False,230
0.507,0.244,3,-11.133,1,0.0265,0.927,7.49e-06,0.304,0.436,95.321,audio_features,6BzKMgN3n4FyMzV8rCXzOM,spotify:track:6BzKMgN3n4FyMzV8rCXzOM,154360,3,Dear Lady Twist,Some More Greatest Hits,Gary U.S. Bonds,dear lady twist,gary us bonds,0,2017-11-06,False,231
0.713,0.523,9,-9.446,1,0.0323,0.817,1.18e-06,0.104,0.965,127.254,audio_features,2Af6yE62PwymxZV0962qul,spotify:track:2Af6yE62PwymxZV0962qul,141027,4,Norman,Essential Sue Thompson,Sue Thompson,norman,sue thompson,26,2011-12-08,False,232
0.563,0.222,6,-18.055,1,0.0352,0.782,0.7,0.164,0.294,128.223,audio_features,7uqrG7OormbZVoLhFY9bLx,spotify:track:7uqrG7OormbZVoLhFY9bLx,156733,3,Love Letters,Ketty Lester Presenting Love Letters,Ketty Lester,love letters,ketty lester,41,1961-12-03,False,233
0.687,0.909,0,0.257,1,0.242,0.699,0.0,0.35,0.937,134.888,audio_features,3eCSZRFJz2ggtYkRLXPorp,spotify:track:3eCSZRFJz2ggtYkRLXPorp,141270,4,Party Lights,Party Lights,Claudine Clark,party lights,claudine clark,22,1962-01-27,False,234
0.732,0.292,9,-12.402,1,0.0399,0.845,0.0,0.0885,0.6,135.188,audio_features,4u00xAxjE159vAnxfMNgP4,spotify:track:4u00xAxjE159vAnxfMNgP4,134439,4,Cotton Fields,The Folk Hits Collection,The Highwaymen,cotton fields,the highwaymen,32,2007-01-01,False,235
0.819,0.369,0,-8.607,1,0.0368,0.855,0.723,0.101,0.619,109.951,audio_features,10SOGyug8Cv35dcrByAD68,spotify:track:10SOGyug8Cv35dcrByAD68,151240,4,"Alley Cat - Fra Tv-serien ""Omkring Et Flygel""",100 Go'e,Bent Fabricius-Bjerre,alley cat,bent fabric,25,2005,False,236
0.774,0.811,5,-6.526,1,0.0355,0.65,0.0,0.0736,0.963,123.354,audio_features,7iFdUmdqT9XrsJdSGf9KrX,spotify:track:7iFdUmdqT9XrsJdSGf9KrX,155400,4,Twist And Shout,Twist & Shout,The Isley Brothers,twist and shout,the isley brothers,56,2005,False,237
0.255,0.253,7,-10.371,1,0.0317,0.433,0.000529,0.105,0.239,92.506,audio_features,02nNs4P5NIAuaNGp0slllE,spotify:track:02nNs4P5NIAuaNGp0slllE,153159,4,Theme from Dr Kildare,It's Theme Time,Richard Chamberlain,theme from dr kildare,richard chamberlain,0,2019-07-09,False,238
0.519,0.357,0,-8.515,1,0.033,0.896,0.622,0.121,0.415,114.51,audio_features,6bGqFrBJdSEWt6WtW2EyIS,spotify:track:6bGqFrBJdSEWt6WtW2EyIS,171520,4,Tuffer Than Tuff,Baby Don't Get Hooked on Me,Ace Cannon,tuff,ace cannon,1,2014,False,239
0.688,0.791,5,-7.268,0,0.0618,0.586,0.0,0.118,0.908,86.626,audio_features,40FR6V7kuWEqVK4J6aU7ET,spotify:track:40FR6V7kuWEqVK4J6aU7ET,119720,4,Lover Please - Remastered,Golden Selection (Remastered),Clyde McPhatter,lover please,clyde mcphatter,18,2020-05-08,False,240
0.855,0.457,5,-9.288,1,0.045,0.552,0.0,0.0671,0.871,124.622,audio_features,2ldDt6esToseRgMMdTNW5M,spotify:track:2ldDt6esToseRgMMdTNW5M,143747,4,I Know (You Don't Love Me No More),I Never Knew,Barbara George,i know you dont love me no more,barbara george,25,2022-07-22,False,241
0.543,0.525,0,-10.953,1,0.029,0.592,6.81e-05,0.156,0.662,117.157,audio_features,1Ibjmb8gV1RERi8GNUBGi1,spotify:track:1Ibjmb8gV1RERi8GNUBGi1,147707,4,Young World - Remastered,The Best Of Rick Nelson (Vol. 2),Ricky Nelson,young world,ricky nelson,18,1991-01-01,False,242
0.643,0.384,7,-11.864,0,0.0282,0.701,4.15e-05,0.178,0.741,113.458,audio_features,2mRg1R9LKzZJWRAtKVollf,spotify:track:2mRg1R9LKzZJWRAtKVollf,161000,4,Baby It's You,Will You Still Love Me Tomorrow,The Shirelles,baby its you,the shirelles,49,2005,False,243
0.589,0.447,11,-12.912,1,0.0748,0.821,0.0,0.0999,0.789,146.845,audio_features,3TmnUIbelFiDzrhZqavHU0,spotify:track:3TmnUIbelFiDzrhZqavHU0,153093,4,Speedy Gonzales,Pat Boone's Greatest Hits (Reissue),Pat Boone,speedy gonzales,pat boone,52,1993-01-01,False,244
0.512,0.274,0,-14.106,1,0.0411,0.877,0.000278,0.183,0.86,143.106,audio_features,7CwAYmbeKKPhdjbHFI5Sza,spotify:track:7CwAYmbeKKPhdjbHFI5Sza,126227,4,A Little Bitty Tear - Single Version,The Versatile Burl Ives!,Burl Ives,a little bitty tear,burl ives,23,1961-12-01,False,245
0.61,0.379,2,-9.381,1,0.0278,0.622,0.0,0.144,0.48,97.166,audio_features,3lWuagNhAzcqOikD5KnBku,spotify:track:3lWuagNhAzcqOikD5KnBku,120307,4,Crying in the Rain,The Golden Hits of The Everly Brothers,The Everly Brothers,crying in the rain,the everly brothers,60,1962-06-01,False,246
0.269,0.318,0,-10.692,1,0.0343,0.939,3.11e-06,0.114,0.482,179.455,audio_features,2YqW2I9BE71NelRtIRq4g4,spotify:track:2YqW2I9BE71NelRtIRq4g4,119701,3,Al Di La - Remastered,20 Grandi Successi (Remastered),Emilio Pericoli,al di la,emilio pericoli,11,2019-06-14,False,247
0.643,0.648,8,-10.122,1,0.145,0.281,0.0,0.201,0.97,94.935,audio_features,3SRhYXOAaZcionVxhn60UZ,spotify:track:3SRhYXOAaZcionVxhn60UZ,124210,4,Shout Shout (Knock Yourself Out),Maresca Magic,Ernie Maresca,shout shout knock yourself out,ernie maresca,11,2020-05-29,False,248
0.206,0.312,5,-11.546,1,0.0312,0.899,0.00179,0.0949,0.835,202.391,audio_features,5zHv1Q0krW7lKr4G8Cv0yy,spotify:track:5zHv1Q0krW7lKr4G8Cv0yy,135573,3,What's Your Name (Alternate Take),Presenting Don and Juan,Don & Juan,whats your name,don and juan,13,1961-05-06,False,249
0.478,0.69,3,-10.387,1,0.0718,0.459,5.37e-05,0.164,0.748,125.351,audio_features,75ZlvRqeFQy02VFklspFdK,spotify:track:75ZlvRqeFQy02VFklspFdK,187228,4,Smoky Places - Remastered,Smoky Places (Remastered),The Corsairs,smoky places,the corsairs,20,2018-07-31,False,250
0.526,0.555,7,-9.523,0,0.0456,0.532,0.0,0.388,0.736,123.615,audio_features,0J1JdPuKQ1uUOueYLEU2BC,spotify:track:0J1JdPuKQ1uUOueYLEU2BC,157296,4,Having a Party,The Best of Sam Cooke,Sam Cooke,having a party,sam cooke,49,1962,False,251
0.814,0.481,10,-10.76,1,0.0319,0.798,0.865,0.0961,0.893,134.815,audio_features,0LiHWulNk5Vws57m9pvo9D,spotify:track:0LiHWulNk5Vws57m9pvo9D,174283,4,Green Onions - 2022 Remaster,Green Onions (60th Anniversary Remaster),Booker T. & the M.G.'s,green onions,booker t and the mgs,49,1962-10-01,False,252
0.231,0.284,3,-12.178,1,0.0415,0.881,0.0,0.0992,0.369,70.679,audio_features,6LahUh0U4umx6hDFfVWlGi,spotify:track:6LahUh0U4umx6hDFfVWlGi,196920,5,You Don't Know Me,"Modern Sounds in Country and Western Music, Vols 1 & 2",Ray Charles,you dont know me,ray charles,56,2009-06-02,False,253
0.701,0.471,0,-8.072,1,0.0421,0.647,0.0,0.125,0.69,117.564,audio_features,7sqK6f8dHVx3Q1GjFrVyGl,spotify:track:7sqK6f8dHVx3Q1GjFrVyGl,152160,4,Sherry,Sherry and 11 Other Hits,Frankie Valli & The Four Seasons,sherry,the four seasons,63,1962-10-01,False,254
0.598,0.433,1,-7.083,1,0.0306,0.592,8.27e-06,0.109,0.54,126.283,audio_features,7BCM0ubgjdY8exZfO7Hm9d,spotify:track:7BCM0ubgjdY8exZfO7Hm9d,153360,4,Johnny Get Angry,Johnny Get Angry,Joanie Sommers,johnny get angry,joanie sommers,0,2000-01-01,False,255
0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,audio_features,44AyOl4qVkzS48vBsbNXaC,spotify:track:44AyOl4qVkzS48vBsbNXaC,182360,3,Can't Help Falling in Love,Blue Hawaii,Elvis Presley,cant help falling in love,elvis presley,80,1961-10-20,False,256
0.437,0.434,5,-14.375,0,0.055,0.182,0.0,0.0872,0.876,159.842,audio_features,5cTzvLAGCtOedIzJmz5Exg,spotify:track:5cTzvLAGCtOedIzJmz5Exg,268320,4,Shout,"Hey, Lets Twist (Original Soundtrack Plus Bonus Tracks 1962)",Joey Dee,shout,joey dee and the starliters,7,2013-01-01,False,257
0.754,0.656,0,-6.952,1,0.0418,0.0446,0.891,0.0391,0.709,112.628,audio_features,7c53U0l1S2x4X0Uj42gYGR,spotify:track:7c53U0l1S2x4X0Uj42gYGR,173467,4,Rinky Dink,Chess Pieces: The Very Best Of Chess Records,"Dave ""Baby"" Cortez",rinky dink,dave baby cortez,7,2005-01-01,False,258
0.39,0.0235,5,-19.695,1,0.0345,0.937,0.00128,0.099,0.155,133.403,audio_features,5iGleL7HpEThuuYQ3us2jh,spotify:track:5iGleL7HpEThuuYQ3us2jh,125585,5,Moon River(Vocal Audrey Hepburn),Breakfast At Tiffany's (50th Anniversary Edition),Henry Mancini,moon river,henry mancini,57,1961,False,259
0.643,0.593,7,-9.606,1,0.244,0.443,2.14e-05,0.497,0.791,174.513,audio_features,2KLgLcpDBfZmGgGWvDIWOb,spotify:track:2KLgLcpDBfZmGgGWvDIWOb,262333,4,Ahab The Arab,Get Serious!,Ray Stevens,ahab the arab,ray stevens,32,1995-09-18,False,260
0.562,0.558,4,-3.572,1,0.0453,0.858,0.0,0.107,0.839,174.704,audio_features,5hgei65n0pGJ9uUHo8v2en,spotify:track:5hgei65n0pGJ9uUHo8v2en,151413,4,Things,Things & Other Things,Bobby Darin,things,bobby darin,48,1962,False,261
0.625,0.435,1,-12.653,0,0.0685,0.597,0.0,0.113,0.744,88.879,audio_features,7ux5h2ohT9XerrQcTQMjpD,spotify:track:7ux5h2ohT9XerrQcTQMjpD,176240,4,(The Man Who Shot) Liberty Valance,The Best Of Gene Pitney,Gene Pitney,the man who shot liberty valance,gene pitney,17,1984,False,262
0.282,0.361,1,-8.466,1,0.0292,0.893,3.39e-06,0.0714,0.36,66.733,audio_features,6E9EAew6zHWxbg5pq4vGB6,spotify:track:6E9EAew6zHWxbg5pq4vGB6,170125,4,You Belong to Me,Hits Singles: Collectors Series,The Duprees,you belong to me,the duprees,36,1965-07-22,False,263
0.361,0.65,5,-8.547,1,0.0679,0.0717,0.0,0.612,0.531,156.868,audio_features,2FDeRfYaXVY4l5rxXi4J3s,spotify:track:2FDeRfYaXVY4l5rxXi4J3s,227253,4,Dream Baby (How Long Must I Dream) - Live,Black & White Night 30 (Live),Roy Orbison,dream baby how long must i dream,roy orbison,23,2017-02-24,False,264
0.684,0.247,5,-14.434,1,0.126,0.655,2.1e-05,0.101,0.614,107.377,audio_features,1SMW1Z5OrdgTLvI2X9mPMi,spotify:track:1SMW1Z5OrdgTLvI2X9mPMi,177707,4,Snap Your Fingers,American Radio Rarities & Hits,Joe Henderson,snap your fingers,joe henderson,15,2016-05-06,False,265
0.322,0.478,0,-12.534,1,0.0582,0.263,0.0,0.204,0.718,147.794,audio_features,64DuGJ68wlR7LNl6jJIN7S,spotify:track:64DuGJ68wlR7LNl6jJIN7S,150200,4,Lovers Who Wander,The Best Of Dion,Dion,lovers who wander,dion,27,2001-01-01,False,266
0.71,0.864,1,-9.153,1,0.142,0.344,0.000111,0.261,0.965,75.896,audio_features,729Sczujh4V6On8rME2DPa,spotify:track:729Sczujh4V6On8rME2DPa,149880,4,Chris Montez - Lets Dance,The Original Hit Recording - Let's Dance,Chris Montez,lets dance,chris montez,29,2012-08-13,False,267
0.61,0.316,7,-12.6,1,0.0335,0.755,0.000218,0.121,0.708,110.0,audio_features,3Id8znxIUtTYNhZsak8Unb,spotify:track:3Id8znxIUtTYNhZsak8Unb,128453,4,Cindy's Birthday,A Young Man's Fancy,Johnny Crawford,cindys birthday,johnny crawford,35,2006-01-24,False,268
