danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,duration_ms,time_signature,spotify_song,spotify_album,spotify_artist,billboard_name,billboard_artist,popularity,release_date,explicit,billboard_df_index
0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,audio_features,0PkBTqRtN25z3oKasWoKlj,spotify:track:0PkBTqRtN25z3oKasWoKlj,145533,4,Only the Lonely,Sings Lonely and Blue,Roy Orbison,only the lonely,roy orbison,64,1961,False,19
0.449,0.395,8,-6.389,1,0.0277,0.722,0.0,0.183,0.393,110.501,audio_features,1ZsHsqO3nrafksXkOBeUXG,spotify:track:1ZsHsqO3nrafksXkOBeUXG,160387,3,Where Or When,Presenting Dion And The Belmonts,Dion & The Belmonts,where or when,dion and the belmonts,42,1959-01-01,False,20
0.339,0.406,10,-8.955,1,0.0319,0.865,1.1e-05,0.11,0.619,109.783,audio_features,0oI0ekrSQ3aHiHcMi1B2gK,spotify:track:0oI0ekrSQ3aHiHcMi1B2gK,118133,3,Sixteen Reasons,"As Cricket In ""Hawaiian Eye""",Connie Stevens,sixteen reasons,connie stevens,40,2005-05-24,False,21
0.234,0.443,7,-7.605,1,0.0361,0.701,0.0,0.25,0.448,68.69,audio_features,1mdfrHeZzxjz0FJ4BKRuxS,spotify:track:1mdfrHeZzxjz0FJ4BKRuxS,161533,4,Puppy Love - Remastered,Paul Anka Sings His Big 15 (Remastered),Paul Anka,puppy love,paul anka,52,1959-01-02,False,22
0.408,0.213,5,-14.843,1,0.0295,0.869,0.0,0.101,0.643,94.608,audio_features,3PNLqKBbWaTBGt9Y1lM1eB,spotify:track:3PNLqKBbWaTBGt9Y1lM1eB,157718,4,Why,Frankie Avalon,Frankie Avalon,why,frankie avalon,33,2008-12-01,False,23
0.488,0.648,5,-13.252,1,0.0305,0.852,0.914,0.13,0.949,156.35,audio_features,7B2pUwzvlbNG9D855r9ugf,spotify:track:7B2pUwzvlbNG9D855r9ugf,122933,4,"Walk, Don't Run - Stereo",Walk Don't Run,The Ventures,walk dont run,the ventures,50,1960-01-01,False,24
0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,audio_features,391TUcoPonqYykPkSZ5Z9U,spotify:track:391TUcoPonqYykPkSZ5Z9U,154960,4,Save the Last Dance for Me,Save the Last Dance for Me,The Drifters,save the last dance for me,the drifters,64,1962,False,25
0.67,0.596,3,-9.347,1,0.0627,0.852,0.00203,0.653,0.813,133.396,audio_features,0DICNd5XQ1og9UeYzxoNFV,spotify:track:0DICNd5XQ1og9UeYzxoNFV,165760,4,"Baby, You’ve Got What It Takes",The Two Of Us,Dinah Washington,baby youve got what it takes,dinah washington,53,1960-07-05,False,26
0.671,0.567,3,-12.467,1,0.0878,0.652,1.4e-05,0.0565,0.963,114.798,audio_features,5reeFbhshHjB5QJjJRiK1n,spotify:track:5reeFbhshHjB5QJjJRiK1n,194717,4,Sink The Bismarck,The Best Of Johny Horton,Johnny Horton,sink the bismarck,johnny horton,18,2011-10-14,False,27
0.703,0.724,7,-10.818,1,0.0467,0.73,0.0,0.518,0.963,131.821,audio_features,7v1858htfU0srTDwhxeka8,spotify:track:7v1858htfU0srTDwhxeka8,155173,4,Chain Gang,Swing Low,Sam Cooke,chain gang,sam cooke,55,1961-03,False,28
